cours,date,indice,maxVal,minVal,openVal,page,var
9.092,2022-10-26 17:29:28.758348,CREDIT AGRICOLE SA,9.142,9.044,9.111,1,-0.02
133.44,2022-10-26 17:29:28.788366,AIR LIQUIDE,134.22,131.28,132.8,1,0.71
105.84,2022-10-26 17:29:28.808242,AIRBUS,106.2,104.3,104.36,1,1.71
20.17,2022-10-26 17:29:28.815813,ALSTOM,20.22,19.23,19.24,1,4.78
48.395,2022-10-26 17:29:28.833059,DANONE,48.565,47.685,48.455,1,-0.39
47.34,2022-10-26 17:29:28.848262,BNP PARIBAS,47.65,47.03,47.445,1,0.01
15.4,2022-10-26 17:29:28.865977,CARREFOUR,15.595,15.175,15.535,1,-0.9
174.0,2022-10-26 17:29:28.899909,CAPGEMINI,175.4,171.85,171.9,1,0.58
24.85,2022-10-26 17:29:28.906681,AXA,25.035,24.755,24.91,1,-0.48
92.37,2022-10-26 17:29:28.912083,VINCI,92.55,91.08,91.62,1,2.42
35.46,2022-10-26 17:29:28.918320,DASSAULT SYSTEMES,35.795,34.235,35.34,1,-3.31
165.25,2022-10-26 17:29:28.925091,ESSILORLUXOTTICA,166.95,164.0,164.85,1,0.15
28.51,2022-10-26 17:29:28.930816,BOUYGUES,28.54,28.02,28.19,1,1.35
12.996,2022-10-26 17:29:28.938305,ENGIE,13.13,12.974,13.03,1,-0.35
65.62,2022-10-26 17:29:28.944165,EUROFINS SCIENTIFIC,65.8,64.02,64.82,1,0.98
,2022-10-26 17:29:28.963557,HERMES INTL,,,,2,0.66
23.245,2022-10-26 17:29:28.972609,SOCIETE GENERALE,23.47,23.125,23.375,1,-0.11
31.85,2022-10-26 17:29:28.990882,RENAULT,32.2,31.5,31.7,2,0.03
112.2,2022-10-26 17:29:28.996649,SAFRAN,112.86,110.1,110.2,2,1.69
124.95,2022-10-26 17:29:29.003220,THALES,126.0,122.15,122.25,1,2.75
83.19,2022-10-26 17:29:29.018696,SANOFI,83.43,82.33,82.7,2,1.09
42.08,2022-10-26 17:29:29.024365,SAINT-GOBAIN,42.105,41.405,41.425,2,1.42
479.65,2022-10-26 17:29:29.053509,KERING,479.9,470.25,472.75,1,1.53
78.66,2022-10-26 17:29:29.059571,LEGRAND,78.86,76.1,76.26,1,2.9
13.684,2022-10-26 17:29:29.080941,STELLANTIS,13.686,13.4,13.496,2,1.12
662.9,2022-10-26 17:29:29.094805,LVMH,663.6,651.1,659.4,1,0.74
34.915,2022-10-26 17:29:29.111532,STMICROELECTRONICS,35.05,33.92,34.195,2,-0.75
25.055,2022-10-26 17:29:29.125840,MICHELIN,25.08,23.7,23.7,1,-1.86
133.04,2022-10-26 17:29:29.144059,SCHNEIDER ELECTRIC,133.66,131.3,131.38,2,1.33
319.5,2022-10-26 17:29:29.157968,L'OREAL,322.9,317.85,321.4,1,-0.67
276.3,2022-10-26 17:29:29.194827,TELEPERFORMANCE,276.4,271.1,274.0,2,0.55
52.9,2022-10-26 17:29:29.201358,TOTALENERGIES,53.37,52.41,53.0,2,-0.66
9.452,2022-10-26 17:29:29.221960,ORANGE,9.514,9.378,9.42,1,0.5
22.52,2022-10-26 17:29:29.235738,VEOLIA,23.07,22.38,22.73,2,-0.92
8.256,2022-10-26 17:29:29.241992,VIVENDI,8.296,8.164,8.296,2,-0.77
57.12,2022-10-26 17:29:29.247710,PUBLICIS GROUPE,58.56,56.82,58.56,1,-2.46
44.82,2022-10-26 17:29:29.264340,WORLDLINE,45.14,43.3,43.67,2,2.4
176.2,2022-10-26 17:29:29.279847,PERNOD RICARD,177.05,173.05,176.9,1,-0.76
cours,date,indice,maxVal,minVal,openVal,page,var
9.097,2022-10-26 17:30:18.277739,CREDIT AGRICOLE SA,9.142,9.044,9.111,1,0.03
133.4,2022-10-26 17:30:18.286570,AIR LIQUIDE,134.22,131.28,132.8,1,0.68
105.98,2022-10-26 17:30:18.295677,AIRBUS,106.2,104.3,104.36,1,1.85
20.18,2022-10-26 17:30:18.316810,ALSTOM,20.22,19.23,19.24,1,4.83
48.37,2022-10-26 17:30:18.326516,DANONE,48.565,47.685,48.455,1,-0.44
47.4,2022-10-26 17:30:18.342453,BNP PARIBAS,47.65,47.03,47.445,1,0.14
15.365,2022-10-26 17:30:18.358891,CARREFOUR,15.595,15.175,15.535,1,-1.13
174.2,2022-10-26 17:30:18.375303,CAPGEMINI,175.4,171.85,171.9,1,0.69
24.86,2022-10-26 17:30:18.381005,AXA,25.035,24.755,24.91,1,-0.44
92.5,2022-10-26 17:30:18.390348,VINCI,92.56,91.08,91.62,1,2.56
35.425,2022-10-26 17:30:18.422549,DASSAULT SYSTEMES,35.795,34.235,35.34,1,-3.41
165.55,2022-10-26 17:30:18.428527,ESSILORLUXOTTICA,166.95,164.0,164.85,1,0.33
28.48,2022-10-26 17:30:18.452626,BOUYGUES,28.54,28.02,28.19,1,1.24
13.01,2022-10-26 17:30:18.466738,ENGIE,13.13,12.974,13.03,1,-0.25
,2022-10-26 17:30:18.494559,HERMES INTL,,,,2,0.59
65.4,2022-10-26 17:30:18.501645,EUROFINS SCIENTIFIC,65.8,64.02,64.82,1,0.65
23.27,2022-10-26 17:30:18.507839,SOCIETE GENERALE,23.47,23.125,23.375,1,0.0
31.835,2022-10-26 17:30:18.532317,RENAULT,32.2,31.5,31.7,2,-0.02
125.6,2022-10-26 17:30:18.543512,THALES,126.0,122.15,122.25,1,3.29
112.14,2022-10-26 17:30:18.558918,SAFRAN,112.86,110.1,110.2,2,1.63
479.55,2022-10-26 17:30:18.573348,KERING,479.9,470.25,472.75,1,1.51
83.18,2022-10-26 17:30:18.591253,SANOFI,83.43,82.33,82.7,2,1.08
42.0,2022-10-26 17:30:18.596998,SAINT-GOBAIN,42.105,41.405,41.425,2,1.23
78.62,2022-10-26 17:30:18.604945,LEGRAND,78.86,76.1,76.26,1,2.85
13.67,2022-10-26 17:30:18.619121,STELLANTIS,13.686,13.4,13.496,2,1.02
662.8,2022-10-26 17:30:18.635974,LVMH,663.6,651.1,659.4,1,0.73
34.905,2022-10-26 17:30:18.650789,STMICROELECTRONICS,35.05,33.92,34.195,2,-0.78
25.09,2022-10-26 17:30:18.666835,MICHELIN,25.125,23.7,23.7,1,-1.72
319.45,2022-10-26 17:30:18.673522,L'OREAL,322.9,317.85,321.4,1,-0.68
132.94,2022-10-26 17:30:18.679137,SCHNEIDER ELECTRIC,133.66,131.3,131.38,2,1.25
9.45,2022-10-26 17:30:18.694714,ORANGE,9.514,9.378,9.42,1,0.48
276.3,2022-10-26 17:30:18.711220,TELEPERFORMANCE,276.4,271.1,274.0,2,0.55
57.2,2022-10-26 17:30:18.726370,PUBLICIS GROUPE,58.56,56.82,58.56,1,-2.32
52.87,2022-10-26 17:30:18.742096,TOTALENERGIES,53.37,52.41,53.0,2,-0.71
176.25,2022-10-26 17:30:18.775117,PERNOD RICARD,177.05,173.05,176.9,1,-0.73
