cours,date,indice,maxVal,minVal,openVal,var
9.090 ,2022-10-26 15:02:39.313725,CREDIT AGRICOLE SA,9.142 ,9.044 ,9.111 ,-0.04%
131.920 ,2022-10-26 15:02:39.316766,AIR LIQUIDE,134.220 ,131.280 ,132.800 ,-0.44%
105.380 ,2022-10-26 15:02:39.319412,AIRBUS,105.880 ,104.300 ,104.360 ,+1.27%
19.965 ,2022-10-26 15:02:39.320567,ALSTOM,20.030 ,19.230 ,19.240 ,+3.71%
47.950 ,2022-10-26 15:02:39.321419,DANONE,48.565 ,47.685 ,48.455 ,-1.31%
47.365 ,2022-10-26 15:02:39.322120,BNP PARIBAS,47.650 ,47.030 ,47.445 ,+0.06%
15.300 ,2022-10-26 15:02:39.322928,CARREFOUR,15.595 ,15.175 ,15.535 ,-1.54%
173.200 ,2022-10-26 15:02:39.323651,CAPGEMINI,175.400 ,171.850 ,171.900 ,+0.12%
24.880 ,2022-10-26 15:02:39.324313,AXA,25.035 ,24.755 ,24.910 ,-0.36%
91.830 ,2022-10-26 15:02:39.324977,VINCI,92.270 ,91.080 ,91.620 ,+1.82%
34.720 ,2022-10-26 15:02:39.325658,DASSAULT SYSTEMES,35.795 ,34.660 ,35.340 ,-5.33%
164.550 ,2022-10-26 15:02:39.326334,ESSILORLUXOTTICA,166.950 ,164.000 ,164.850 ,-0.27%
28.390 ,2022-10-26 15:02:39.327246,BOUYGUES,28.400 ,28.020 ,28.190 ,+0.92%
13.020 ,2022-10-26 15:02:39.327952,ENGIE,13.130 ,12.974 ,13.030 ,-0.17%
64.940 ,2022-10-26 15:02:39.328736,EUROFINS SCIENTIFIC,65.220 ,64.020 ,64.820 ,-0.06%
23.285 ,2022-10-26 15:02:39.329506,SOCIETE GENERALE,23.470 ,23.195 ,23.375 ,+0.06%
125.700 ,2022-10-26 15:02:39.330185,THALES,125.750 ,122.150 ,122.250 ,+3.37%
472.000 ,2022-10-26 15:02:39.330931,KERING,476.250 ,470.250 ,472.750 ,-0.08%
78.240 ,2022-10-26 15:02:39.331771,LEGRAND,78.300 ,76.100 ,76.260 ,+2.35%
652.100 ,2022-10-26 15:02:39.332970,LVMH,663.600 ,651.100 ,659.400 ,-0.90%
24.675 ,2022-10-26 15:02:39.334145,MICHELIN,24.810 ,23.700 ,23.700 ,-3.35%
318.350 ,2022-10-26 15:02:39.335663,L'OREAL,322.900 ,318.100 ,321.400 ,-1.03%
9.444 ,2022-10-26 15:02:39.336485,ORANGE,9.514 ,9.378 ,9.420 ,+0.41%
57.320 ,2022-10-26 15:02:39.341466,PUBLICIS GROUPE,58.560 ,57.060 ,58.560 ,-2.12%
173.700 ,2022-10-26 15:02:39.342343,PERNOD RICARD,177.050 ,173.050 ,176.900 ,-2.17%
1 350.500 ,2022-10-26 15:02:39.457560,HERMES INTL,1 374.000 ,1 342.000 ,1 355.500 ,-0.30%
32.030 ,2022-10-26 15:02:39.460197,RENAULT,32.200 ,31.500 ,31.700 ,+0.60%
112.120 ,2022-10-26 15:02:39.461539,SAFRAN,112.740 ,110.100 ,110.200 ,+1.61%
82.880 ,2022-10-26 15:02:39.462386,SANOFI,83.260 ,82.330 ,82.700 ,+0.72%
41.740 ,2022-10-26 15:02:39.464191,SAINT-GOBAIN,42.105 ,41.405 ,41.425 ,+0.60%
13.576 ,2022-10-26 15:02:39.464926,STELLANTIS,13.608 ,13.400 ,13.496 ,+0.33%
34.050 ,2022-10-26 15:02:39.465653,STMICROELECTRONICS,34.670 ,33.930 ,34.195 ,-3.21%
132.420 ,2022-10-26 15:02:39.466445,SCHNEIDER ELECTRIC,133.660 ,131.300 ,131.380 ,+0.85%
272.600 ,2022-10-26 15:02:39.467454,TELEPERFORMANCE,275.600 ,271.100 ,274.000 ,-0.80%
52.640 ,2022-10-26 15:02:39.468107,TOTALENERGIES,53.370 ,52.410 ,53.000 ,-1.15%
22.510 ,2022-10-26 15:02:39.468794,VEOLIA,23.070 ,22.490 ,22.730 ,-0.97%
8.210 ,2022-10-26 15:02:39.469453,VIVENDI,8.296 ,8.164 ,8.296 ,-1.32%
44.100 ,2022-10-26 15:02:39.470110,WORLDLINE,44.740 ,43.300 ,43.670 ,+0.75%
cours,date,indice,maxVal,minVal,openVal,var
9.086,2022-10-26 15:09:04.208690,CREDIT AGRICOLE SA,9.142,9.044,9.111,
132.1,2022-10-26 15:09:04.216980,AIR LIQUIDE,134.22,131.28,132.8,
105.18,2022-10-26 15:09:04.221325,AIRBUS,105.88,104.3,104.36,
19.985,2022-10-26 15:09:04.224404,ALSTOM,20.03,19.23,19.24,
47.98,2022-10-26 15:09:04.225545,DANONE,48.565,47.685,48.455,
47.325,2022-10-26 15:09:04.230726,BNP PARIBAS,47.65,47.03,47.445,
15.265,2022-10-26 15:09:04.231483,CARREFOUR,15.595,15.175,15.535,
173.2,2022-10-26 15:09:04.232311,CAPGEMINI,175.4,171.85,171.9,
24.855,2022-10-26 15:09:04.233015,AXA,25.035,24.755,24.91,
91.76,2022-10-26 15:09:04.233818,VINCI,92.27,91.08,91.62,
34.52,2022-10-26 15:09:04.234560,DASSAULT SYSTEMES,35.795,34.48,35.34,
164.6,2022-10-26 15:09:04.235253,ESSILORLUXOTTICA,166.95,164.0,164.85,
28.37,2022-10-26 15:09:04.236647,BOUYGUES,28.4,28.02,28.19,
13.004,2022-10-26 15:09:04.238331,ENGIE,13.13,12.974,13.03,
64.96,2022-10-26 15:09:04.239087,EUROFINS SCIENTIFIC,65.22,64.02,64.82,
23.255,2022-10-26 15:09:04.239804,SOCIETE GENERALE,23.47,23.195,23.375,
125.55,2022-10-26 15:09:04.240504,THALES,125.75,122.15,122.25,
471.3,2022-10-26 15:09:04.241236,KERING,476.25,470.25,472.75,
78.26,2022-10-26 15:09:04.241974,LEGRAND,78.3,76.1,76.26,
652.9,2022-10-26 15:09:04.242681,LVMH,663.6,651.1,659.4,
24.65,2022-10-26 15:09:04.243347,MICHELIN,24.81,23.7,23.7,
318.5,2022-10-26 15:09:04.244049,L'OREAL,322.9,318.1,321.4,
9.436,2022-10-26 15:09:04.244747,ORANGE,9.514,9.378,9.42,
57.32,2022-10-26 15:09:04.245457,PUBLICIS GROUPE,58.56,57.06,58.56,
173.8,2022-10-26 15:09:04.246123,PERNOD RICARD,177.05,173.05,176.9,
,2022-10-26 15:09:04.347046,HERMES INTL,,,,
31.985,2022-10-26 15:09:04.350424,RENAULT,32.2,31.5,31.7,
112.02,2022-10-26 15:09:04.352465,SAFRAN,112.74,110.1,110.2,
82.93,2022-10-26 15:09:04.354127,SANOFI,83.26,82.33,82.7,
41.715,2022-10-26 15:09:04.625062,SAINT-GOBAIN,42.105,41.405,41.425,
13.574,2022-10-26 15:09:04.628977,STELLANTIS,13.608,13.4,13.496,
34.025,2022-10-26 15:09:04.631557,STMICROELECTRONICS,34.67,33.93,34.195,
132.36,2022-10-26 15:09:04.632927,SCHNEIDER ELECTRIC,133.66,131.3,131.38,
273.2,2022-10-26 15:09:04.633637,TELEPERFORMANCE,275.6,271.1,274.0,
52.58,2022-10-26 15:09:04.634322,TOTALENERGIES,53.37,52.41,53.0,
22.49,2022-10-26 15:09:04.635112,VEOLIA,23.07,22.49,22.73,
8.212,2022-10-26 15:09:04.635820,VIVENDI,8.296,8.164,8.296,
44.02,2022-10-26 15:09:04.636619,WORLDLINE,44.74,43.3,43.67,
